RegionID,State,City,CountyName,MeanValue
64930,PA,Harrisburg,Dauphin County,96064.70262127992
60451,CT,Bethel,Fairfield County,504785.19698797073
79768,MI,Ferrysburg,Ottawa County,368734.03198027285
93289,CO,Denver,Denver County,730692.4308
75505,KY,Prospect,Jefferson County,617389.1179811795
98145,CA,Riverbank,Stanislaus County,461438.3015
91093,TX,Palestine,Anderson County,199041.84013216212
77628,OH,Tipp City,Miami County,310994.68636526685
68874,WV,Weirton,Hancock County,131093.58203608904
92656,TX,Austin,Travis County,403624.23737173324
88643,LA,Carencro,Lafayette Parish,204807.68696333884
70463,SC,North Charleston,Dorchester County,314495.2403404112
60741,NJ,Palisades Park,Bergen County,898141.0382190716
67543,VA,Midlothian,Chesterfield County,439668.54566993535
66057,DE,Wilmington,New Castle County,254661.4100607646
65194,PA,Danville,Montour County,256490.23148679515
95842,NV,Las Vegas,Clark County,476867.66972475004
60473,CT,Norwalk,Fairfield County,625305.8819
77837,OH,Celina,Mercer County,211692.88858196742
84819,IL,Rockford,Winnebago County,76064.45717955932
79068,MI,Detroit,Wayne County,43135.40939912522
67802,VA,Portsmouth,Portsmouth City,210962.93500201637
80911,IA,Iowa City,Johnson County,350730.55549165414
97483,CA,Greenfield,Monterey County,505958.5691972457
90042,OK,Lawton,Comanche County,94426.34676894704
92274,TX,Canyon Lake,Comal County,422758.37373454776
89010,LA,Alexandria,Rapides Parish,88606.40806242399
60928,NJ,Cherry Hill,Camden County,412446.71045878343
71358,GA,Bonaire,Houston County,277516.0950756353
63011,NY,Syracuse,Onondaga County,109654.44165629498
60158,CT,Hartford,Hartford County,411753.7314843745
69988,NC,Kinston,Lenoir County,170645.61405102935
58442,MA,Worcester,Worcester County,371206.6577976688
75217,MS,Jackson,Hinds County,36755.984981700465
94729,AZ,Phoenix,Maricopa County,534990.1232628169
94468,UT,Salt Lake City,Salt Lake County,850280.4892796432
70011,NC,Havelock,Craven County,214375.15525171414
417439,AZ,Eloy,Pinal County,274191.22378896835
